,country,year,gdp_per_capita,water_stress,total_population_with_access_to_safe_drinking_water
21,Benin,2022,1334.1362490784504,0.975243811,77.9035961056951
22,Benin,2023,1374.0980790784506,0.975243811,77.90539415850427
23,Benin,2024,1414.0599090784506,0.975243811,77.90719221131343
24,Benin,2025,1454.0217390784505,0.975243811,77.9089902641226
20,Lithuania,2021,21386.34927726325,1.833547501887006,96.60124450584527
21,Lithuania,2022,22002.532620016857,1.8329926246628245,96.60248901164204
22,Lithuania,2023,22618.71596277046,1.832437747438643,96.60373351743878
23,Lithuania,2024,23234.899305524068,1.8318828702144616,96.60497802323553
24,Lithuania,2025,23851.082648277672,1.8313279929902804,96.6062225290323
20,Mexico,2021,8537.475997191028,46.23681838208672,96.1014233188108
21,Mexico,2022,8586.108508943065,47.556870297315406,96.10284663756526
22,Mexico,2023,8634.741020695104,48.8769222125441,96.10426995631973
23,Mexico,2024,8683.373532447142,50.1969741277728,96.1056932750742
24,Mexico,2025,8732.00604419918,51.51702604300149,96.10711659382866
20,Libya,2021,4132.917847952054,817.1485806823548,71.2
21,Libya,2022,3066.6092276367326,817.1542805038177,71.2
22,Libya,2023,2000.300607321411,817.1599803252808,71.2
23,Libya,2024,933.9919870060894,817.1656801467437,71.2
24,Libya,2025,-132.3166333092322,817.1713799682067,71.2
20,Lesotho,2021,1047.6420037959201,2.5659050967,81.80323762173317
21,Lesotho,2022,1033.4985885381216,2.5659050967,81.80647524335642
22,Lesotho,2023,1019.3551732803232,2.5659050967,81.80971286497964
23,Lesotho,2024,1005.2117580225248,2.5659050967,81.81295048660287
24,Lesotho,2025,991.0683427647264,2.5659050967,81.8161881082261
20,United Republic of Tanzania,2021,1146.7637387751834,12.96324402152999,55.60065152830045
21,United Republic of Tanzania,2022,1180.8799022960636,12.963244586813772,55.601303056574814
22,United Republic of Tanzania,2023,1214.9960658169439,12.963245152097555,55.601954584849175
23,United Republic of Tanzania,2024,1249.1122293378241,12.963245717381337,55.60260611312354
24,United Republic of Tanzania,2025,1283.2283928587044,12.96324628266512,55.6032576413979
20,Bhutan,2021,3308.7376337147043,1.5306995399270413,100.0086188304382
21,Bhutan,2022,3398.4644547951716,1.628104823101654,100.01723766059395
22,Bhutan,2023,3488.1912758756384,1.7255101062762663,100.0258564907497
23,Bhutan,2024,3577.9180969561057,1.8229153894508787,100.03447532090546
24,Bhutan,2025,3667.644918036573,1.920320672625491,100.04309415106121
20,Lebanon,2021,9508.505787630045,58.7964354292182,99.000310104376
21,Lebanon,2022,9706.849669630046,58.79987929434757,99.00062020874037
22,Lebanon,2023,9905.193551630047,58.80332315947694,99.00093031310473
23,Lebanon,2024,10103.537433630047,58.80676702460631,99.00124041746909
24,Lebanon,2025,10301.881315630046,58.81021088973568,99.00155052183347
20,Latvia,2021,18426.297293915035,0.9855841532782524,99.30196604552441
21,Latvia,2022,18978.697404932394,0.9315472124358135,99.3039320909928
22,Latvia,2023,19531.097515949754,0.8775102715933746,99.3058981364612
23,Latvia,2024,20083.497626967113,0.8234733307509357,99.30786418192959
24,Latvia,2025,20635.897737984473,0.7694363899084966,99.30983022739798
20,Lao People's Democratic Republic,2021,2646.235782173422,4.890944052793995,75.7061375863343
21,Lao People's Democratic Republic,2022,2669.7139235046825,4.989638801027337,75.71184647739553
22,Lao People's Democratic Republic,2023,2693.192064835943,5.088333549260679,75.71755536845676
23,Lao People's Democratic Republic,2024,2716.6702061672036,5.187028297494021,75.72326425951799
24,Lao People's Democratic Republic,2025,2740.148347498464,5.285723045727363,75.72897315057921
20,Bolivia (Plurinational State of),2021,2729.7108961493095,1.177001160955514,90.00356441514545
21,Bolivia (Plurinational State of),2022,2324.171197169609,1.1770011940376803,90.00712883016067
22,Bolivia (Plurinational State of),2023,1918.6314981899088,1.1770012271198464,90.01069324517589
23,Bolivia (Plurinational State of),2024,1513.0917992102084,1.1770012602020126,90.0142576601911
24,Bolivia (Plurinational State of),2025,1107.552100230508,1.177001293284179,90.01782207520633
